64187b70-c8fa-438b-b841-6b68f5e38b18|PLC|+375503797747|UK
83773051-4218-40ca-9c7c-9579aca2926a|PHC|+375360694352|RU
18c3bf35-6527-4a4c-bc17-228a2094f071|ME|bqVNvtest@test.com|BY
6539efff-8252-4ee4-a083-5594f6af71f2|PLC|+375405823590|BY
4ccc83fa-cab5-45cd-9623-1a359fdc8a71|PHC|+375547314026|RU
6bdbab15-38ba-4f99-9735-3c93faf3a5fb|AE|hTKv6test@test.com|DE
623a9bdd-8000-481e-a79c-9d63547a8c3e|PHC|+375512988569|UK
1698cbeb-8354-4765-943d-00b2fa3a404a|PLC|+375738356055|CA
579be987-f508-4b8e-8975-9df28bddbf02|PHC|+375492472755|UK
f33be254-f75b-4d20-bfba-bf95ce7d8486|SMS|+375854999566|RU
b10d78e2-da03-44ed-aa6e-a4cdb3bcb12c|PLC|+375765889435|UA
72d4aca7-130d-44fc-aa93-f4e844f2b04d|PHC|+375766728347|UA
2598d8f7-b866-4004-913f-07ab67c116db|PLC|+375822445718|DE
6ddccafe-88f1-4554-84a6-72283bb1a316|ME|l3qZLtest@test.com|BY
80c02d0f-e018-46ac-8896-cb11e44a6829|ME|ggXmGtest@test.com|BY
b0f6bcb6-60ce-45e0-aaf8-755ec7e3c39d|PHC|+375613743106|BY
50be8377-d6ef-47bc-9e00-306db94b529c|PLC|+375625859174|BY
ebdc25d0-9d48-42c9-9120-5e31b15046f1|AE|gzcA2test@test.com|UA
4bceae0b-75c7-41c3-8fef-d9b6fa50fa0e|PHC|+375553549821|DK
8516aad7-d61f-4d71-9f5b-bfb5319122b0|PLC|+375477179748|UA
55dfa2e5-f818-424c-a93a-be83ebd06988|ME|hx8ivtest@test.com|DE
67505bef-e15a-4db6-8999-9fc4e587735e|SMS|+375881052400|BY
4f16976d-a9aa-43de-bd28-e3ad42434614|PLC|+375630640679|FI
7a71eaf2-6c14-4efd-8097-6991fb42f4a0|ME|meYwOtest@test.com|BY
4cbcef88-a03b-4bd9-bccf-ac1b4de51c10|SMS|+375752855899|CA
25060c6f-1f8e-486c-ae01-7d40f3ba6998|PHC|+375334298252|RU
