64187b70-c8fa-438b-b841-6b68f5e38b18|PLC|+375503797747|UK
83773051-4218-40ca-9c7c-9579aca2926a|PHC|+375360694352|RU
18c3bf35-6527-4a4c-bc17-228a2094f071|ME|bqVNvtest@test.com|BY
6539efff-8252-4ee4-a083-5594f6af71f2|PLC|+375405823590|BY
4ccc83fa-cab5-45cd-9623-1a359fdc8a71|PHC|+375547314026|RU
6bdbab15-38ba-4f99-9735-3c93faf3a5fb|AE|hTKv6test@test.com|DE
623a9bdd-8000-481e-a79c-9d63547a8c3e|PHC|+375512988569|UK
1698cbeb-8354-4765-943d-00b2fa3a404a|PLC|+375738356055|CA
579be987-f508-4b8e-8975-9df28bddbf02|PHC|+375492472755|UK
782ce38b-9921-48ff-a613-d3778168fa7b|ME|0LpECtest@test.com|BY
